open;high;low;close;volume
2020-06-22;21.6;21.6;20.9;20.92;45419000
2020-06-23;21.22;22.07;21.14;21.69;78950900
2020-06-24;21.49;21.56;20.71;21.03;65162400
2020-06-25;20.91;21.5;20.73;21.38;47263500
2020-06-26;21.21;21.47;20.78;20.82;55499300
2020-06-29;21.1;21.68;20.93;21.66;59809600
2020-06-30;21.34;21.8;21.09;21.5;65010600
2020-07-01;21.75;22.25;21.52;21.66;78983900
2020-07-02;22.1;22.21;21.86;22.1;56345900
2020-07-06;22.39;22.86;22.31;22.43;58070900
2020-07-07;22.34;22.47;22.14;22.26;46591300
2020-07-08;22.45;22.76;22.4;22.65;49136300
2020-07-09;22.78;22.81;22.06;22.21;57151500
2020-07-10;22.19;22.65;22.06;22.42;57428300
2020-07-13;22.61;22.65;22.13;22.15;55425500
2020-07-14;22.13;22.96;21.86;22.85;89380500
2020-07-15;23.2;23.43;22.85;23.34;58390600
2020-07-16;23.16;23.28;22.52;22.79;69698700
2020-07-17;22.83;23.03;22.58;22.78;49927600
2020-07-20;22.7;22.91;22.52;22.76;48679800
2020-07-21;23.15;23.6;23.14;23.24;101769600
2020-07-22;23.3;23.41;23.01;23.11;43085500
2020-07-23;23.16;23.23;22.54;22.59;64072100
2020-07-24;22.54;23.06;22.42;22.83;43380300
2020-07-27;22.87;23.25;22.45;23.2;56539600
2020-07-28;23.04;23.32;22.8;22.81;48353000
2020-07-29;23.03;23.25;22.92;23.16;44011500
2020-07-30;22.92;22.92;22.5;22.89;57859000
2020-07-31;22.92;23.14;22.16;22.28;75397300
2020-08-03;22.54;22.55;21.72;21.76;63598500
2020-08-04;21.46;22.05;21.25;21.8;63011900
2020-08-05;22.23;23.28;22.23;23.2;137214700
2020-08-06;23.28;23.53;23.01;23.12;56375100
2020-08-07;22.86;22.91;22.55;22.8;56040200
2020-08-10;22.9;23.45;22.64;23.33;52390100
2020-08-11;23.71;23.88;23.06;23.2;66342300
2020-08-12;23.36;23.68;23.08;23.5;67008500
2020-08-13;23.45;23.58;22.71;22.71;44588200
2020-08-14;22.77;22.98;22.53;22.72;38422000
2020-08-17;22.68;22.84;22.15;22.59;52064300
2020-08-18;22.93;23.24;22.77;23.01;49361300
2020-08-19;22.95;23.32;22.75;22.86;51982100
2020-08-20;22.52;22.87;22.35;22.7;55251700
2020-08-21;22.54;22.63;22.35;22.56;38668300
2020-08-24;22.86;23.13;22.8;23.0;51841900
2020-08-25;23.09;23.15;22.69;22.84;37981400
2020-08-26;22.78;22.9;22.04;22.21;69925300
2020-08-27;22.32;22.47;22.04;22.12;35489800
2020-08-28;22.25;22.54;22.06;22.48;31071000
2020-08-31;22.32;22.43;21.88;21.94;48539700
2020-09-01;22.2;22.89;22.12;22.81;66299700
2020-09-02;22.93;23.1;22.52;22.88;53618000
2020-09-03;22.61;23.12;22.57;22.86;87642400
2020-09-04;23.0;23.03;22.58;22.85;52351100
2020-09-08;22.5;22.5;21.91;22.27;74490200
2020-09-09;22.49;22.77;22.49;22.66;42171500
2020-09-10;22.58;22.58;22.06;22.06;58350000
2020-09-11;22.12;22.26;21.75;21.84;71013700
2020-09-14;21.94;21.98;21.43;21.72;46453300
2020-09-15;21.98;22.08;21.55;21.64;58546700
2020-09-16;21.85;21.99;21.6;21.67;50379500
2020-09-17;21.51;22.17;21.46;22.17;62362200
2020-09-18;21.99;22.15;21.55;21.58;64243500
2020-09-21;21.29;21.46;20.81;20.87;73300000
2020-09-22;20.96;21.35;20.75;20.78;47207700
2020-09-23;20.8;20.96;20.11;20.12;57106300
2020-09-24;20.24;20.71;20.06;20.33;76310000
2020-09-25;20.15;20.26;19.87;20.17;40158400
2020-09-28;20.33;20.56;19.6;19.6;48824300
2020-09-29;19.63;19.86;19.25;19.3;52878100
2020-09-30;19.5;20.04;19.43;19.78;69505000
2020-10-01;19.64;20.06;19.13;19.98;77537300
2020-10-02;19.73;19.74;19.0;19.02;85306000
2020-10-05;19.36;20.16;19.24;20.07;73288500
2020-10-06;20.47;20.7;19.87;19.9;77064600
2020-10-07;20.0;20.05;19.56;19.9;53521000
2020-10-08;20.04;20.59;19.86;20.4;78070400
2020-10-09;20.34;20.39;19.8;19.82;67962300
2020-10-13;19.91;20.13;19.73;20.05;55330600
2020-10-14;20.09;20.37;19.95;20.0;44584300
2020-10-15;19.62;19.8;19.44;19.8;56952100
2020-10-16;19.67;19.71;19.3;19.37;49929000
2020-10-19;19.41;19.94;19.25;19.56;107420300
2020-10-20;19.67;20.27;19.59;20.23;68407700
2020-10-21;20.16;20.33;19.83;20.15;60594900
2020-10-22;20.1;20.87;20.05;20.87;98926900
2020-10-23;20.94;21.14;20.54;20.66;61711200
2020-10-26;20.33;20.53;20.03;20.24;58229100
2020-10-27;20.26;20.37;19.68;19.68;48978400
2020-10-28;19.35;19.44;18.61;18.71;79247400
2020-10-29;18.43;19.37;17.74;19.22;86794800
2020-10-30;19.14;19.54;18.87;19.01;64185100
2020-11-03;19.51;19.9;19.33;19.65;66292400
2020-11-04;20.01;20.07;19.27;19.72;65777600
2020-11-05;19.95;19.99;19.72;19.89;40874800
2020-11-06;19.55;19.95;19.54;19.75;37273300
2020-11-09;21.11;22.69;21.04;21.61;164904100
2020-11-10;21.89;23.15;21.81;23.08;163732600
2020-11-11;23.35;23.36;22.4;22.88;93072900
2020-11-12;22.74;22.82;21.77;21.91;77275000
2020-11-13;22.02;22.8;21.89;22.63;66065200
2020-11-16;23.2;23.63;23.13;23.29;101683300
2020-11-17;23.05;24.14;22.98;23.69;94082100
2020-11-18;23.99;24.13;23.55;23.55;68540400
2020-11-19;23.55;23.94;23.37;23.82;65382100
2020-11-20;23.84;23.99;23.47;23.65;38137700
2020-11-23;24.05;25.1;24.04;25.1;127649000
2020-11-24;25.64;26.67;25.64;26.22;153293500
2020-11-25;26.2;26.5;25.67;26.25;75650800
2020-11-26;25.94;25.95;25.56;25.82;41935900
2020-11-27;25.92;26.06;25.45;25.5;49863500
2020-11-30;25.26;25.88;24.84;24.9;90207700
2020-12-01;25.4;25.77;25.29;25.6;58866000
2020-12-02;25.6;26.5;25.33;25.91;88093300
2020-12-03;26.15;26.89;26.05;26.64;62424500
2020-12-04;27.19;27.57;27.06;27.53;61652400
